,STORE_NUMBER,SKU_NUMBER,PART_TYPE,PLATFORM_CLUSTER_NAME,APPLICATION_COUNT,POP_EST_CY,POP_DENSITY_CY,PCT_WHITE,AGE,PCT_COLLEGE,PCT_BLUE_COLLAR,MEDIAN_HOUSEHOLD_INCOME,ESTABLISHMENTS,SKU_EXISTENCE_PY,SKU_STORE_PDQ_PY,TOTAL_VIO_PY,LOST_QTY_PY,AVG_CLUSTER_UNIT_SALES_PY,AVG_CLUSTER_LOST_SALES_PY,ROAD_QUALITY_INDEX,VIO_COMPARED_TO_CLUSTER_PY,ADJUSTED_AVG_CLUSTER_SALES_PY,QTY_SOLD_PPY,QTY_SOLD_PY,AVG_CLUSTER_TOTAL_SALES_PY,SALES_SIGNAL_PY,ADJUSTED_LIFECYCLE_PY,PCT_OF_LIFECYCLE_REMAINING,LIFECYCLE_PRE_PEAK_POST,ADJ_AVG_CLUSTER_LOST_SALES_PY,ADJ_AVG_CLUSTER_TOTAL_SALES_PY,py_unit_sales,ppy_unit_sales,py_gross_sales,ppy_gross_sales,py_sales_cost,ppy_sales_cost,PROJECTED_GROWTH_PCT_PY,OTHER_UNIT_PLS_LOST_SALES_PPY,OTHER_UNIT_PLS_LOST_SALES_PY,MPOG_ID,py_qty_sold_transfer,py_qty_sold_on_hand,ppy_qty_sold_transfer,ppy_qty_sold_on_hand,qty_sold_py_diy,qty_sold_py_difm,qty_sold_ppy_diy,qty_sold_ppy_difm
0,5257,445,3,44.0,569,15966.35,0.002106,0.07,33.68,0.1,0.17,53754.89,399.22,11,11,233.74131475,0,3.0,0.0,320.9,1.0,3.0,2.0,3.0,3.0,3.0,0.54,0.8952113690687983,2,0.0,3.0,11523.0,4094.0,78.37,43.04,5.7,6.23,0.2144930085304722,1058.0,3220.0,6,0.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0
1,6235,1615,0,56.0,0,8985.98,0.0016309999999999999,0.03,35.94,0.13,0.18,65499.74,174.8,6,6,0.0,0,0.08,0.0,143.0,1.0,0.08,0.0,0.0,0.08,0.0,0.0,1.0,2,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,309.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6358,1540,0,47.0,34,24600.35,0.004002,0.19,34.39,0.13,0.16,61494.85,535.68,11,11,9.031192249999998,0,0.2,0.0,133.9,1.3360910840068465,0.2672182168013692,0.0,0.0,0.2,0.0,0.0,0.9721508203934476,3,0.0,0.2672182168013692,569.0,5.0,0.0,0.0,0.0,0.0,1.6537753222836096,0.0,231.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6815,1071,3,2.0,123,9118.38,0.040258999999999996,0.1,31.57,0.18,0.19,49858.21,397.14,11,11,3.20796025,0,0.15,0.0,57.5,0.7824181661522865,0.1173627249228429,0.0,0.0,0.15,0.0,5.24,0.1078865404100875,1,0.0,0.1173627249228429,1867.0,1871.0,0.0,0.0,0.0,0.0,-0.3463180362860192,334.0,311.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6867,1329,3,22.0,367,11141.13,0.002856,0.07,29.67,0.17,0.17,55639.65,278.31,11,11,88.34685325000002,0,0.02,0.0,19.3,0.7129271975348894,0.0142585439506977,0.0,0.0,0.02,0.0,2.31,0.3689285456719515,1,0.0,0.0142585439506977,522.0,237.0,0.0,0.0,0.0,0.0,0.02868068833652,3.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7469,1581,3,10.0,0,10574.44,0.002978,0.44,32.2,0.13,0.19,44764.77,245.69,10,10,15.172613000000002,0,0.05,0.0,44.62,0.5836509986258449,0.0291825499312922,0.0,0.0,0.05,0.0,0.0,1.0,2,0.0,0.0291825499312922,919.0,0.0,0.0,0.0,0.0,0.0,3.0708762886597936,0.0,681.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5465,143,0,51.0,155,8783.72,0.008316,0.02,34.07,0.12,0.24,44600.73,231.57,11,11,130.65533825,0,0.26,0.0,201.8,0.5232564807528728,0.1360466849957469,2.0,0.0,0.26,0.0,0.49,0.6487178007348839,2,0.0,0.1360466849957469,625.0,806.0,0.0,102.58,0.0,59.36,-0.1365079365079365,21.0,37.0,9,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
7,7177,470,3,39.0,247,10247.69,0.003922,0.08,33.36,0.14,0.18,59351.8,318.08,11,11,19.13368075,0,0.62,0.0,180.0,0.6700827793810027,0.4154513232162217,2.0,0.0,0.62,0.0,1.29,0.4864012731113012,2,0.0,0.4154513232162217,6486.0,5391.0,0.0,21.42,0.0,9.18,-0.0672164306830558,2869.0,3303.0,6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
8,5790,1945,0,25.0,133,9149.91,0.005381,0.5,33.33,0.11,0.16,47032.52,131.8,11,11,39.15582575,0,0.69,0.0,50.6,1.1520897775951708,0.7949419465406679,3.0,0.0,0.69,0.0,0.64,0.5100954046818882,1,0.0,0.7949419465406679,12385.0,19943.0,0.0,43.74,0.0,12.51,-0.2178811121764141,548.0,284.0,1,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0
9,7314,1034,3,87.0,52,18133.47,0.001533,0.32,33.01,0.12,0.14,69755.68,873.1,11,11,98.286386,0,2.12,0.0,200.6,1.5880696368940357,3.3667076302153562,1.0,1.0,2.12,1.0,2.18,0.3689285456719515,1,0.0,3.3667076302153562,4593.0,5302.0,16.99,7.8,1.41,1.61,-0.0596270598438855,2013.0,1637.0,6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
